Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,166771,Greenblotched Rockfish,Rockfish,Red Rockfish,,2,2,6,Greenblotched RF,Sebastes rosenblatti,species,Rockfish - Demersal,fish,55,491,NCA-Baja,Hard/Soft Mixed,Common,48,54,Greenblotched rockfish,Sebastes rosenblatti
,166765,Honeycomb Rockfish,Rockfish,Red Rockfish,,2,2,7,Honeycomb RF,Sebastes umbrosus,species,Rockfish - Demersal,fish,18,270,CCA-Baja,Hard/Soft Mixed,No data,27,28,Honeycomb rockfish,Sebastes umbrosus
,166755,Mexican Rockfish,Rockfish,Red Rockfish,,2,2,14,Mexican RF,Sebastes macdonaldi,species,Rockfish - Demersal,fish,76,350,CCA-Baja,Rocky,No data,66,66,Mexican rockfish,Sebastes macdonaldi
,166747,Kelp Rockfish,Rockfish,Patterned,,2,3,2,Kelp RF,Sebastes atrovirens,species,Rockfish - Demersal,fish,0,82,NCA-Baja,Hard/Soft Mixed,Common,42,42,Kelp rockfish,Sebastes atrovirens
,166773,Black-and-yellow Rockfish,Rockfish,Patterned,,2,3,4,Black-and-yellow RF,Sebastes chrysomelas,species,Rockfish - Demersal,fish,0,37,NCA-Baja,Rocky,Common,38,38,Black-and-yellow rockfish,Sebastes chrysomelas
,166757,Speckled Rockfish,Rockfish,Patterned,,2,3,9,Speckled RF,Sebastes ovalis,species,Rockfish - Large Schooling,fish,30,366,WA-Baja,Rocky,Common,56,56,Speckled rockfish,Sebastes ovalis
,166722,Chilipepper,Rockfish,Schooling,,2,4,5,Chilipepper,Sebastes goodei,species,Rockfish - Demersal,fish,0,515,WA-Baja,Hard/Soft Mixed,Common,56,59,Chilipepper rockfish,Sebastes goodei
,166718,Puget Sound Rockfish,Rockfish,Schooling,,2,4,12,Puget Sound RF,Sebastes emphaeus,species,Rockfish - Demersal,fish,3,470,AK-CCA,Rocky,No data,18,19,Puget Sound rockfish,Sebastes emphaeus
166700,89,Aurora/Splitnose Rockfish complex,Rockfish,Complexes,,2,5,1,Aurora/Splitnose RF,Sebastes aurora or diploproa,complex,Rockfish - Demersal,fish,,,AK-Baja,Hard/Soft Mixed,Common,,,Aurora/splitnose rockfish,S. aurora or S. diploproa
,88,Black/Blue/Deacon Rockfish complex,Rockfish,Complexes,,2,5,3,Black/Blue/Deacon RF,Sebastes melanops or mystinus or diaconus,complex,Rockfish - Large Schooling,fish,0,549,Can-SCA,See specific species,Common,69,,Black/blue complex,S. melanops or S. mystinus
,55,Copper/Gopher Rockfish complex,Rockfish,Complexes,,2,5,5,Copper/Gopher RF,Sebastes caurinus or carnatus,complex,Rockfish - Demersal,fish,0,408,AK-Baja,Rocky,Common,41,,Copper/gopher complex,S. caurinus or S. carnatus
,51,Shortspine/Longspine Thornyhead complex,Rockfish,Complexes,,2,5,6,S/L Thornyhead,Sebastolobus alascanus or altivelis,complex,Rockfish - Demersal,fish,17,1756,AK-Baja,Hard/Soft Mixed,,83,,Thornyhead complex,Sebastolobus sp.
,166709,Aurora Rockfish,Rockfish,Deep/Uncommon,,2,6,1,Aurora RF,Sebastes aurora,species,Rockfish - Demersal,fish,81,893,Can-Baja,Mud/Sand,Common,41,41,Aurora rockfish,Sebastes aurora
116716,166716,Splitnose Rockfish,Rockfish,Deep/Uncommon,,2,6,2,Splitnose RF,Sebastes diploproa,species,Rockfish - Demersal,fish,45,924,AK-Baja,Hard/Soft Mixed,Common,46,46,Splitnose rockfish,Sebastes diploproa
,166728,Blackgill Rockfish,Rockfish,Deep/Uncommon,,2,6,3,Blackgill RF,Sebastes melanostomus,species,Rockfish - Demersal,fish,88,768,Can-Baja,Rocky,Uncommon,61,61,Blackgill rockfish,Sebastes melanostomus
