taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
168691,Almaco Jack,Jacks,Home,2,4,1,2,Almaco Jack,Seriola rivoliana,Species,Jacks,,,,Gulf,,,,,,
168689,Amberjack,Jacks,Home,1,4,1,1,Amberjack,Seriola dumerili,Subclass,Jacks,,,,Gulf,,,,,,
553237,Angelfish,Angel/Butter,Angelfish,,3,1,4,Angelfish,Pomacanthidae,Family,Angelfish,,,,Gulf,,,,,,
167675,Anthiadinae,Seabasses,Home,16,2,1,3,Anthiadinae,Anthiadinae,Subclass,Seabasses,,,,Gulf,,,,,,
167770,Anthias asperilinguis,Seabasses,Home,,2,1,7,Anthias asperilinguis,Anthias asperilinguis,Subclass,Seabasses,,,,Gulf,,,,,,
169539,Atlantic Spadefish,Other Reef Fish,,,7,,,Atlantic Spadefish,Chaetodipterus faber,Species,Other fish,,,,,,,,,,
173392,Balloonfish,Other Reef Fish,Puffers,,7,7,3,Balloonfish,Diodon holocanthus,Family,Puffers,,,,Gulf,,,,,,
169563,Banded Butterflyfish,Angel/Butter,Butterflyfish,,3,2,5,Banded Butterflyfish,Chaetodon striatus,Species,Butterflyfish,,,,Gulf,,,,,,
168693,Banded rudderfish,Jacks,Home,,,,,Banded rudderfish,Seriola zonata,Species,Jacks,,,,Gulf,,,,,,
173300,Bandtail Puffer,Other Reef Fish,Puffers,34,7,7,5,Bandtail Puffer,Sphoeroides spengleri,Species,Puffers,,,,Gulf,,,,,,
646776,Bank Butterflyfish,Angel/Butter,Butterflyfish,12,3,2,2,Bank Butterflyfish,Prognathodes aya,Species,Butterflyfish,,,,Gulf,,,,,,
167690,Bank Seabass,Seabasses,Home,,2,1,26,Bank Seabass,Centropristis ocyurus,Species,Seabasses,,,,Gulf,,,,,,
168615,Bar Jack,Jacks,Home,,4,1,4,Bar Jack,Caranx ruber,Family,Jacks,,,,Gulf,,,,,,
172508,Barrelfish,Other Reef Fish,Others,,7,9,24,Barrelfish,Centrolophidae,Species,Other Fish,,,,Gulf,,,,,,
164573,Batfish,Other Reef Fish,Others,39,7,9,12,Batfish,Ogcocephalidae,Species,Other Fish,,,,Gulf,,,,,,
164412,Batrachoididae,Other Reef Fish,Others,,7,9,25,Batrachoididae,Batrachoididae,Species,Other Fish,,,,Gulf,,,,,,
645471,Bermuda Chub,Other Reef Fish,,,,,,Bermuda Chub,Kyphosus sectatrix,Species,Other Fish,,,,Gulf,,,,,,
615416,Bicolor damselfish,,,,,,,Bicolor damselfish,Stegastes partitus,Order,Damselfish,,,,Gulf,,,,,,
