taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,Species_name,Taxonomic_Level,Report_Group,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size
0,No invertebrates,,,,,,,,No invertebrates recorded for entire line,,Other Inverts,,,,,,
11,Tequila sunrise Placogorgia,GULF,PASS 1,18_x_x_x,1,1,18,Tequila sunrise,Placogorgia (tequila sunrise),Genus,Corals,,,Gulf,,,
17,Sponge,GULF,PASS 4A,x_x_x_13,1,4,13,Sponge,Porifera,Phylum,Sponges,,,Gulf,,,
18,Orange elephant ear sponge,,,,,,,,Agelas clathrodes,Species,Sponges,,,Gulf,,,
21,Black coral (bush),GULF,PASS 2,x_x_8_x,1,2,8,Black Coral (Bush),Tanacetipathes (bush),Order,Corals,,,Gulf,,,
24,Tube dwelling anemone,GULF,PASS 4A,x_x_x_21,1,4,21,Tube Anemone,Ceriantharia,Family,Anemones,,,Gulf,,,
27,Boot sponge,,,,,,,,Porifera (boot),Phylum,Sponges,,,Gulf,,,
37,Vase sponge,GULF,PASS 4A,x_x_x_1,1,4,1,Vase Sponge,Porifera (vase),Phylum,Sponges,,,Gulf,,,
40,Zoanthid 1,GULF,PASS 4A,x_x_x_17,1,4,17,Zoanthid 1,Zoantharia (Type 1),Order,Other Inverts,,,Gulf,,,
41,White ball sponge,GULF,PASS 4A,x_x_x_6,1,4,6,White Ball Sponge,Porifera (white ball),Phylum,Sponges,,,Gulf,,,
42,Grey ball sponge,GULF,PASS 4A,x_x_x_7,1,4,7,Grey Ball Sponge,Porifera (grey ball),Phylum,Sponges,,,Gulf,,,
43,UI boulder sponge,GULF,PASS 4A,x_x_x_8,1,4,8,UI Boulder Sponge,Porifera (boulder),Phylum,Sponges,,,Gulf,,,
44,Sponge 1,GULF,PASS 4A,x_x_x_9,1,4,9,Sponge 1,Porifera (Type 1),Phylum,Sponges,,,Gulf,,,
45,Sponge 2,GULF,PASS 4A,x_x_x_10,1,4,10,Sponge 2,Porifera (Type 2),Phylum,Sponges,,,Gulf,,,
46,Sponge 3,GULF,PASS 4A,x_x_x_11,1,4,11,Sponge 3,Porifera (Type 3) ,Phylum,Sponges,,,Gulf,,,
48,Sponge 4,GULF,PASS 4A,x_x_x_12,1,4,12,Sponge 4,Porifera (Type 4),Phylum,Sponges,,,Gulf,,,
49,Antipathes furcata/Aphanipathes pedata complex,,,,,,,furcata/pedata,Antipatharia,,Corals,,,Gulf,,,
50,Small white Malacalcyonacea,GULF,PASS 3,x_x_2_x,1,3,2,Sm White Malacalcyonacea,Malacalcyonacea (small white),Order,Corals,,,Gulf,,,
51,Thesea rubra,GULF,PASS 1,8_x_x_x,1,1,8,Thesea rubra,Thesea rubra,Species,Corals,,,Gulf,,,
52,Small red Malacalcyonacea,GULF,PASS 1,13_x_x_x,1,1,13,Sm Red Malacalcyonacea,Malacalcyonacea (small red),Order,Corals,,,Gulf,,,
53,Small yellow Malacalcyonacea,GULF,PASS 3,x_x_3_x,1,3,3,Sm yellow Malacal,Malacalcyonacea (small yellow),Order,Corals,,,Gulf,,,
54,Large yellow Malacalcyonacea,GULF,PASS 1,15_x_x_x,1,1,15,Lg Yellow Malacalcyonacea,Malacalcyonacea (large yellow),Order,Corals,,,Gulf,,,
55,Large red Malacalcyonacea,GULF,PASS 1,14_x_x_x,1,1,14,Lg Rd Malacalcyonacea,Malacalcyonacea (large red),Order,Corals,,,Gulf,,,
56,Small red gorgonian,,,,,,,,Octocorallia (small red),Order,Corals,,,Gulf,,,
57,Small orange Octocorallia,GULF,PASS 3,x_x_6_x,1,3,6,Small orange Octocorallia,Octocorallia (small orange),Order,Corals,,,Gulf,,,
58,Slender orange gorgonian,,,,,,,,Octocorallia (slender orange),Order,Corals,,,Gulf,,,
59,Sea whip,GULF,PASS 1,10_x_x_x,1,1,10,Sea Whip,Octocorallia,Species,Corals,,,Gulf,,,
60,Lobed sponge,,,,,,,,Porifera (lobed),Phylum,Sponges,,,Gulf,,,
