Old taxserial (pre 2018),taxserial,GUI_HomeOrder,GUI_MainTab,GUI_SubTab,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,COMNAME,species,note,Observation_Type,Taxonomic_Level,Report_Group,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0,typeTC,typeDive
,0,,,,,,,,No invertebrates,No invertebrates recorded for entire line,,invert,,Other Inverts,,,,,,,,No invertebrates,no invertebrates recorded for entire line,,
,1,,,,,,,,No code,No tax. Code assigned,,"This is a recognized species, without a tax. Code",,,,,,,,,,,20-Aug,,
,17,,Other,Sponge,5,1,18,UI sponge,UI sponge,Unidentified Porifera,,invert,phylum,Sponges,,,,,,,,UI sponge,Unidentified Porifera,,
,20,,Corals,Home,2,1,24,UI dead gorgonian,UI dead gorgonian,Unidentified dead Gorgonacea,,invert,order,Corals - Gorgonians,0,,,Rocky,,,,UI dead gorgonian,unrecognized dead gorgonian,,
,24,,Anemones,Home,1,1,12,UI Tube,UI tube dwelling anemone,Unidentified Actiniaria (tube dwelling),,invert,order,Anemones,0,30,AK-Baja,Mud/Sand,,,,UI tube dwelling anemone,Unidentified tube dwelling anemone,,
47511,27,,Other,Sponge,5,1,9,UI Boot Sponge,UI boot sponge,Unidentified Porifera (boot),,invert,phylum,Sponges,0,924,AK-SCA,Rocky,,,,UI boot sponge,Unidentified boot sponges,,
,28,,Other,Sponge,5,1,11,UI Hairy Boot Sponge,UI hairy boot sponge,Unidentified Porifera (hairy boot),Oceana 2016,invert,phylum,Sponges,,,,,,,,UI hairy boot sponge,Unidentified hairy boot sponge,,
204,30,,Other,Sponge,5,1,12,UI Lg. Yellow Sponge,UI large yellow sponge,Unidentified Porifera (large yellow),Oceana 2016,invert,phylum,Sponges,,,,,,,,UI Large yellow sponge,Unidentified yellow sponge,,
,34,,Anemones,Home,1,1,11,UI Sand Dwelling,UI sand dwelling anemone,Unidentified Actiniaria (sand dwelling),,invert,order,Anemones,,,,Mud/Sand,,,,UI sand dwelling anemone,Unidentified sand dwelling anemone,,
,36,,,,,,,,UI carpet worm,Unidentified worm (carpet),"will be a crazy thick mat, on SRI2 and SRI3",invert patch,,Worms,0,30,,,,,,UI carpet worm,Unidentified sessile worm,,
,37,,Other,Sponge,5,1,10,UI Vase Sponge,UI vase sponge,Unidentified Porifera (vase),,invert,phylum,Sponges,,,,,,,,UI vase sponge,Unidentified vase sponges,,
48512,47,21_27,Other,Sponge,5,1,4,Nipple Sponge,UI nipple sponge,Unidentified Porifera (nipple),,invert,phylum,Sponges,0,180,AK-SCA,Hard/Soft Mixed,,,,UI nipple sponge,Unidentified nipple sponges,,
205,57,X_9,,,,,,UI Branched Sponge,UI branched sponge,Unidentified Porifera (branched),,invert,phylum,Sponges,10,36,AK-SCA,Rocky,,,,UI branched sponge,Unidentified branched sponges,,
,57,,Other,Sponge,5,1,19,UI branched sponge,UI branched sponge,Unidentified Porifera (branched),,invert,phylum,Sponges,,,,,,,,UI branched sponge,Unidentified Porifera (branched),,
